scenario_id,step,instruction,completion_type,completion_value,response,branch_reaction_1,branch_step_1,branch_reaction_2,branch_step_2
team_match,1,@チームA @チームB、先鋒戦の対戦カードがマッチングしたか確認してください。確認できたら✅を押してください。,reaction,✅,先鋒戦のマッチングを確認しました。試合開始の合図を待ちます。,✅,2,,
team_match,2,先鋒戦の試合開始の合図を送ってください。開始できるときに🏁を押してください。,reaction,🏁,先鋒戦を開始してください！,🏁,3,,
team_match,3,先鋒戦が完了するまで待機します。試合が完了したら✅を押してください。,reaction,✅,先鋒戦が完了しました。勝敗を判定します。,✅,4,,
team_match,4,先鋒戦の勝者を選択してください。🅰️ @チームA 勝利 / 🅱️ @チームB 勝利,reaction,*,先鋒戦の勝敗を受け付けました。敗者が次鋒戦の先攻・後攻を選択します。,🅰️,6,🅱️,5
team_match,5,@チームB（敗者）が次の次鋒戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームBの選択を受け付けました。次鋒戦のマッチングを確認します。,⚔️,7,🛡️,7
team_match,6,@チームA（敗者）が次の次鋒戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームAの選択を受け付けました。次鋒戦のマッチングを確認します。,⚔️,7,🛡️,7
team_match,7,@チームA @チームB、次鋒戦の対戦カードがマッチングしたか確認してください。確認できたら✅を押してください。,reaction,✅,次鋒戦のマッチングを確認しました。試合開始の合図を待ちます。,✅,8,,
team_match,8,次鋒戦の試合開始の合図を送ってください。開始できるときに🏁を押してください。,reaction,🏁,次鋒戦を開始してください！,🏁,9,,
team_match,9,次鋒戦が完了するまで待機します。試合が完了したら✅を押してください。,reaction,✅,次鋒戦が完了しました。勝敗を判定します。,✅,10,,
team_match,10,次鋒戦の勝者を選択してください。🅰️ @チームA 勝利 / 🅱️ @チームB 勝利,reaction,*,次鋒戦の勝敗を受け付けました。敗者が中堅戦の先攻・後攻を選択します。,🅰️,12,🅱️,11
team_match,11,@チームB（敗者）が次の中堅戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームBの選択を受け付けました。中堅戦のマッチングを確認します。,⚔️,13,🛡️,13
team_match,12,@チームA（敗者）が次の中堅戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームAの選択を受け付けました。中堅戦のマッチングを確認します。,⚔️,13,🛡️,13
team_match,13,@チームA @チームB、中堅戦の対戦カードがマッチングしたか確認してください。確認できたら✅を押してください。,reaction,✅,中堅戦のマッチングを確認しました。試合開始の合図を待ちます。,✅,14,,
team_match,14,中堅戦の試合開始の合図を送ってください。開始できるときに🏁を押してください。,reaction,🏁,中堅戦を開始してください！,🏁,15,,
team_match,15,中堅戦が完了するまで待機します。試合が完了したら✅を押してください。,reaction,✅,中堅戦が完了しました。勝敗を判定します。,✅,16,,
team_match,16,中堅戦の勝者を選択してください。🅰️ @チームA 勝利 / 🅱️ @チームB 勝利,reaction,*,中堅戦の勝敗を受け付けました。敗者が副将戦の先攻・後攻を選択します。,🅰️,18,🅱️,17
team_match,17,@チームB（敗者）が次の副将戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームBの選択を受け付けました。副将戦のマッチングを確認します。,⚔️,19,🛡️,19
team_match,18,@チームA（敗者）が次の副将戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームAの選択を受け付けました。副将戦のマッチングを確認します。,⚔️,19,🛡️,19
team_match,19,@チームA @チームB、副将戦の対戦カードがマッチングしたか確認してください。確認できたら✅を押してください。,reaction,✅,副将戦のマッチングを確認しました。試合開始の合図を待ちます。,✅,20,,
team_match,20,副将戦の試合開始の合図を送ってください。開始できるときに🏁を押してください。,reaction,🏁,副将戦を開始してください！,🏁,21,,
team_match,21,副将戦が完了するまで待機します。試合が完了したら✅を押してください。,reaction,✅,副将戦が完了しました。勝敗を判定します。,✅,22,,
team_match,22,副将戦の勝者を選択してください。🅰️ @チームA 勝利 / 🅱️ @チームB 勝利,reaction,*,副将戦の勝敗を受け付けました。敗者が大将戦の先攻・後攻を選択します。,🅰️,24,🅱️,23
team_match,23,@チームB（敗者）が次の大将戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームBの選択を受け付けました。大将戦のマッチングを確認します。,⚔️,25,🛡️,25
team_match,24,@チームA（敗者）が次の大将戦の順番を選択してください。⚔️ 先攻 / 🛡️ 後攻,reaction,*,@チームAの選択を受け付けました。大将戦のマッチングを確認します。,⚔️,25,🛡️,25
team_match,25,@チームA @チームB、大将戦の対戦カードがマッチングしたか確認してください。確認できたら✅を押してください。,reaction,✅,大将戦のマッチングを確認しました。試合開始の合図を待ちます。,✅,26,,
team_match,26,大将戦の試合開始の合図を送ってください。開始できるときに🏁を押してください。,reaction,🏁,大将戦を開始してください！,🏁,27,,
team_match,27,大将戦が完了するまで待機します。試合が完了したら✅を押してください。,reaction,✅,大将戦が完了しました。勝敗を判定します。,✅,28,,
team_match,28,大将戦の勝者を選択してください。🅰️ @チームA 勝利 / 🅱️ @チームB 勝利,reaction,*,5試合が終了しました。結果を確認してください。,🅰️,29,🅱️,29
team_match,29,5試合の結果を確認できたら✅を押してください。,reaction,✅,チーム対抗戦が完了しました。,,,,
